Country,Year,House Price Index,Rent Index,Affordability Ratio,Mortgage Rate (%),Inflation Rate (%),GDP Growth (%),Population Growth (%),Urbanization Rate (%),Construction Index
USA,2015,117.4540119,116.5500014,9.587945476,4.493292421,1.514121163,-0.752043837,-0.796707357,85.98528437,118.0892009
USA,2016,150.8072578,51.4409146,11.72918867,5.662213204,1.880204219,-0.545400262,-0.358084216,69.12726729,111.9805145
USA,2017,123.1945019,70.38603981,8.506676053,2.197469303,2.398940215,0.930894746,0.596244945,83.55527884,85.97390257
USA,2018,131.4234438,91.46901982,3.418053714,4.53772426,1.608406804,-1.479587256,2.32109938,88.96896099,134.6717878
USA,2019,110.4613769,56.83704798,9.158097239,3.700762469,1.293248526,1.961415281,-0.879640176,87.27961206,90.70239853
USA,2020,146.2522284,71.81977533,7.680612191,4.233551397,1.701553961,5.756677022,1.712964882,88.18496825,141.586188
USA,2021,139.7899979,114.5311965,3.796432518,2.479914312,0.793977378,0.602642646,0.360370514,68.14047095,136.2990007
USA,2022,115.6753327,69.66541568,7.884264748,2.204621125,5.714280375,-1.403594851,2.454104278,83.16734308,85.89725452
USA,2023,80.55221171,107.0823,9.361716095,5.14503584,5.513257253,-1.407642786,0.25463005,63.47607179,139.0482741
USA,2024,142.3298127,73.16286174,3.572025153,3.054911609,2.613691593,3.836849427,1.23145115,86.61638228,107.777194
UK,2015,114.1066351,57.94314649,11.32224256,5.886696767,2.17662058,3.279872368,1.860277701,76.65602435,112.3720463
UK,2016,104.1852291,56.51719375,11.07494182,6.002090286,4.615159472,0.712238328,0.222233511,81.77867037,141.7688208
UK,2017,168.7086424,104.5912882,8.778284815,1.920699825,1.550586642,5.188433508,1.122501709,60.27591155,78.11772343
UK,2018,146.3501769,50.35431087,4.447272463,4.243668947,4.997318785,3.215690076,-0.215057417,81.36537664,88.979927
UK,2019,112.5399698,102.2543984,8.846696091,5.746117052,4.7744838,2.546468827,-0.672138313,71.03147409,91.21618941
UK,2020,104.3989643,118.1107388,6.537879522,5.960232776,4.602401069,4.358490428,0.759229826,77.30711654,109.4014155
UK,2021,99.52429878,100.5716481,5.526951262,1.621579832,4.695569923,-0.583114565,2.291605045,88.61785731,143.1891512
UK,2022,117.01587,51.08196316,11.35486706,3.640920742,6.783256324,5.708959817,1.985533094,68.83346676,100.8078183
UK,2023,165.1136672,72.18454036,4.52543472,4.284006312,6.585006032,3.568238373,0.995214095,62.91529481,119.2005781
UK,2024,179.005385,59.80588107,7.664966871,5.88686536,5.314996015,3.576125928,1.458694294,70.78473454,93.48734754
India,2015,173.8340457,62.68631463,3.598466406,5.205603246,4.234075236,4.734630214,-0.510796682,83.85801936,86.1301856
India,2016,96.36559429,61.49860586,10.33117248,4.825986103,3.899925261,0.870643873,2.070201893,71.77335322,135.3279552
India,2017,123.9134909,76.38611006,7.164118071,3.006889371,5.359460971,2.021763121,-0.187255567,86.9872372,100.7112977
India,2018,134.3552861,113.4530478,8.618141963,2.084490204,6.608908803,3.021664425,0.172169651,64.17816218,133.5220151
India,2019,142.0072756,87.34227644,11.04503325,5.442986056,1.485886718,0.493776542,-0.130288011,82.31838878,72.68259478
India,2020,136.9889685,103.372108,10.89089073,3.210408744,5.83817248,-1.114946104,1.962583021,63.82465987,101.7829832
India,2021,159.7295366,60.49421991,5.063262557,5.111262842,5.180237488,3.129181063,1.428819556,76.2817333,90.14392471
India,2022,114.5695994,62.71184018,11.17605505,4.416958974,3.105534209,1.696046429,2.315491689,64.60054209,116.8983866
India,2023,130.5888679,92.80179648,3.162991654,5.860619545,6.558768836,2.521065469,1.438277884,87.67498144,126.5790907
India,2024,95.25390429,90.34018521,8.460435417,3.620653357,5.286887532,5.474936118,2.239489795,73.52518114,79.05904367
Brazil,2015,159.9415879,98.62875296,5.449306235,4.451153334,2.84633033,-1.267343413,2.210597514,64.10455893,146.0189883
Brazil,2016,124.6005773,62.95930502,7.877108526,5.864729179,5.259461762,4.452489183,1.305741783,80.76829694,137.9356521
Brazil,2017,104.9668009,84.25974746,4.990884976,6.43834004,6.636385708,-1.684585509,1.469513104,87.75744952,84.44602761
Brazil,2018,136.7945231,114.0841808,3.305513807,4.987101336,2.432768548,5.395169563,2.398703858,88.32799467,107.9371373
Brazil,2019,166.2042651,109.1184579,5.871904259,5.644577371,0.740549626,2.770159028,-0.194969069,63.61700657,76.15625613
Brazil,2020,149.6288776,73.79124746,9.522900944,1.826781704,2.549387196,2.315930339,1.767531077,69.56257509,120.0713101
Brazil,2021,168.5977748,93.11042317,5.096635273,1.622003908,6.15564268,-1.829844713,2.061455854,75.86811402,145.1254159
Brazil,2022,159.8783236,119.8553877,6.156406339,5.335941445,3.112550938,1.839004962,1.196269121,86.21031343,148.7266775
Brazil,2023,156.8273414,79.24367475,6.79221302,5.187911508,2.052051447,-1.116207095,0.241177552,68.61716975,93.70464964
Brazil,2024,103.3607751,52.94652327,3.160865413,6.438611949,3.280525369,1.074613177,1.378765489,66.54761664,145.9968947
